"","sample_id","sample_no","sample_type","sample_env","sample_site","n_reads_bac","n_reads_euk"
"CC-VN-A","CC-VN-A","S1","spider","desert","CC",75328,5483
"CC-VN-B","CC-VN-B","S2","spider","desert","CC",99276,2367
"CC-VN-C","CC-VN-C","S3","spider","desert","CC",145128,108265
"CC-W-A","CC-W-A","S4","web","desert","CC",18243,14394
"CC-W-B","CC-W-B","S5","web","desert","CC",25517,28849
"CC-W-C","CC-W-C","S6","web","desert","CC",27755,50605
"DM-VN-109","DM-VN-109","S7","spider","desert","DM",46954,13600
"DM-VN-111","DM-VN-111","S8","spider","desert","DM",90038,13048
"DM-VN-112","DM-VN-112","S9","spider","desert","DM",83191,18614
"DM-VN-113","DM-VN-113","S10","spider","desert","DM",48166,4886
"DM-W-109","DM-W-109","S11","web","desert","DM",24000,40278
"DM-W-111","DM-W-111","S12","web","desert","DM",27449,52612
"DM-W-112","DM-W-112","S13","web","desert","DM",25743,50151
"DM-W-113","DM-W-113","S14","web","desert","DM",22003,32370
"LO-VN-114","LO-VN-114","S15","spider","urban","LO",18103,11011
"LO-VN-115","LO-VN-115","S16","spider","urban","LO",360,49658
"LO-VN-116","LO-VN-116","S17","spider","urban","LO",1536,14979
"LO-VN-118","LO-VN-118","S18","spider","urban","LO",128638,20085
"LO-W-114","LO-W-114","S19","web","urban","LO",74210,25037
"LO-W-115","LO-W-115","S20","web","urban","LO",22875,39918
"LO-W-116","LO-W-116","S21","web","urban","LO",17832,27162
"LO-W-118","LO-W-118","S22","web","urban","LO",33770,16146
"PCR-neg-CTRL","PCR-neg-CTRL","S23","control","control","control",784,353
"UA-VN-G","UA-VN-G","S24","spider","urban","UA",85963,90155
"UA-VN-I","UA-VN-I","S25","spider","urban","UA",106,65026
"UA-VN-J","UA-VN-J","S26","spider","urban","UA",111339,37365
"UA-W-G","UA-W-G","S27","web","urban","UA",23277,20220
"UA-W-I","UA-W-I","S28","web","urban","UA",21265,28567
"UA-W-J","UA-W-J","S29","web","urban","UA",18447,47175
